CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,30,80,0,1,0.866147
1,lt,up,0,0,2.4,30,80,0,1,0.989675
1,lt,down,0,0,2.4,30,80,0,1,0.741565
1,lt,central,0,0,2.4,80,140,0,1,0.941095
1,lt,up,0,0,2.4,80,140,0,1,0.975596
1,lt,down,0,0,2.4,80,140,0,1,0.906735
1,lt,central,0,0,2.4,140,180,0,1,0.94247
1,lt,up,0,0,2.4,140,180,0,1,1.00009
1,lt,down,0,0,2.4,140,180,0,1,0.884938
1,lt,central,0,0,2.4,180,240,0,1,0.969824
1,lt,up,0,0,2.4,180,240,0,1,1.00175
1,lt,down,0,0,2.4,180,240,0,1,0.937593
1,lt,central,0,0,2.4,240,420,0,1,0.983834
1,lt,up,0,0,2.4,240,420,0,1,1.01298
1,lt,down,0,0,2.4,240,420,0,1,0.957055
